title,release_date,overview,end_range,opening_weekend
Acquaria,2003-12-12,"The planet Earth is devastated by the lack of water. Desert and arid, left this place few living beings , who had to adapt to the new bioma.2 Isolated in small communities , living separated...",2003-12-19,2003-12-14
RoboCop: Prime Directives,2001-01-04,"Thirteen years after the original Robocop, Delta City, considered to be ""The Safest Place On Earth!"", has become a futuristic city owned and operated by OCP, and RoboCop, Alex Murphy has begun to feel his age. Murphy finds himself nearly obsolete, and must deal with the fact that his now-grown son James is an OCP executive, unaware that his father is still alive. Also, Murphy's former partner, John Cable, has returned to Delta City as its new Security Commander. But slowly, new enemies arise, and Murphy and Cable begin an investigation into a mysterious villain known as the Bone Machine, unaware that they are coming dangerously close to exposing an evil group of OCP executives known as The Trust... which James Murphy is a part of. Desperate to prevent their sinister plans from being revealed, The Trust programs Murphy to kill John Cable...",2001-01-11,2001-01-06
The Other Side of the Tracks,2008-03-28,"A depressed young man struggles to move on and escape haunting memories of his girlfriend, killed ten years ago in a train accident.",2008-04-04,2008-03-30
Deep Rescue,2005-12-01,The crew of the Discovery struggle to survive and escape to the surface after the Space Shuttle ditches into the Atlantic Ocean.,2005-12-08,2005-12-03
The Day the World Ended,2001-11-23,A school psychologist investigates the death of a student's mother and finds the boy believes he is the son of an alien being.,2001-11-30,2001-11-25
Dinoshark,2010-01-01,"The film opens with a baby dinoshark swimming away from a broken chunk of Arctic glacier that calved due to global warming. Three years later, the dinoshark is a ferocious predatory adult and kills tourists and locals offshore from Puerto Vallarta, Mexico. The protagonist, Trace, is first to notice the Dinoshark and witnesses his friend get eaten, but has trouble convincing people that a creature of such antiquity is still alive and eating people.",2010-01-08,2010-01-03
Max Steel: Endangered Species,2004-01-05,Max Steel must win the sport champion at the same time he must the world from psycho and bio-con.,2004-01-12,2004-01-07
From Star Wars to Star Wars: The Story of Industrial Light & Magic,1999-06-15,"The incredible evolution of George Lucas' special effects dream factory, including an inside look at ""Star Wars: Episode One - The Phantom Menace.""",1999-06-22,1999-06-17
Jett Jackson: The Movie,2001-06-08,"Jett Jackson, who is the star of Silverstone, is considering quitting Silverstone when it is given a three year extension. During the filming of the last episode, Jett is accidently sucked into Silverstone's world when a prop malfunctions. Silverstone is zapped into Jett's world as well. In Silverstone's world, Jett has to save the world from Dr. Kragg's evil plans.",2001-06-15,2001-06-10
The Matwix,2001-09-10,A Looney Tunes parody of the iconic 1999 film The Matrix.,2001-09-17,2001-09-12
Termination Point,2008-07-20,"Top secret government experiments with time travel have been shut down and declared as too dangerous to continue. The lead scientist has disappeared with the technology and a government manhunt is underway. When his name appears on an airline manifest after the flight has departed, the government orders the plane to turn back. But the plane drops from the radar, disappearing into thin air! As special agents try to locate the plane, scientists must deal with the repercussions from the time ripples that threaten to destroy the Earth.",2008-07-27,2008-07-22
Snakehead Terror,2004-01-01,"A small town, desperate to recover from hard economic times, is under threat when voracious Snakehead fish mutate and survive previous lake chemical poisonings. The fish transform from pests to predators when human growth hormones are dumped into the local lake in the hopes of reviving the local fishing industry. Thriving on the hormones, the Snakehead fish grow to monstrous proportions, devouring everything within reach. Capable of moving and eating on land, they are forced to leave the now barren lake in a desperate search for food - animal, vegetable or human.",2004-01-08,2004-01-03
Black Forest,2012-02-25,Tourists trapped in an enchanted forest do battle with evil fairy tale creatures.,2012-03-03,2012-02-27
Days of Darkness,2007-01-01,"When a comet strikes Earth and kicks up a cloud of toxic dust, hundreds of humans join the ranks of the living dead. But there's bad news for the survivors: The newly minted zombies are hell-bent on eradicating every last person from the planet. For the few human beings who remain, going head to head with the flesh-eating fiends is their only chance for long-term survival. Yet their battle will be dark and cold, with overwhelming odds.",2007-01-08,2007-01-03
Goblin,2010-07-13,"Every Halloween, a small hamlet in the deep woods is visited by a fierce goblin, intent on capturing infants and brutally murdering anyone in it's path.",2010-07-20,2010-07-15
Feral,2013-04-01,"A wild boy is found in the woods by a solitary hunter and brought back to civilization. Alienated by a strange new environment, the boy tries to adapt by using the same strategies that kept him safe in the forest.",2013-04-08,2013-04-03
Possible Worlds,2000-01-01,"The same man lives out several parallel lives in different ""worlds"" and in different relationships at the same time.",2000-01-08,2000-01-03
Monster Ark,2008-01-01,"This is film-making of the shoddiest and laziest sort. Every scene is a showcase for the writer/director's ignorance. O'Brien is completely unfamiliar with science. He knows nothing of how scientists talk, how they analyze, how they approach discovery. He is completely ignorant of how military personnel think, how they process situations, how they act, and how they carry themselves. O'Brien even misses the most basic tenets of Christianity.",2008-01-08,2008-01-03
Unholy,2007-09-04,"Martha, a widow living in rural Pennsylvania, comes home to find her daughter about to blow her own head off with a shotgun in the basement of their house. Martha doesn't succeed in stopping her child's horrific demise, but the girl's death gradually leads the grieving mother to investigate a conspiracy that involves a legendary local witch, Nazi dabbling with the occult, and secret government experiments, with the story even referencing the fabled Philadelphia Experiment",2007-09-11,2007-09-06
Paradox Alice,2012-04-20,"In the near future, a team is sent on a dangerous mission to Europa to retrieve and bring water back to a dying Earth. Their operation unexpectedly goes awry, jeopardizing not only the lives of those on board but also on earth, resulting in the possible extinction of the human race.",2012-04-27,2012-04-22
The Black Knight Returns,2009-02-01,"When an evil corporation threatens to unleash the black plague, Evan Grail, is recruited by his grandfather, Max, into the order of the Black Knights - a secret band of warriors who have been called upon in the past to fight evil and injustice. Evan learns that his parents were murdered by the same twisted villain, Simon Darth, who threatens to unleash the plague. Evan wears the uniform of the Black Knights and must fight Simon's evil army to save the day.",2009-02-08,2009-02-03
Downstream,2010-02-24,"Wes Keller is a young man living in a world where oil has collapsed, the food supply has been wiped out, and cancer rates for women have skyrocketed, depleting the female population. In a barbaric environment where bio fuel, batteries, bullets and people are currency and marauders roam free, Wes tries to escape to a mythical world run on cold fusion ""Plutopia"", a place that may only exist in the mind. THE BILL IS DUE. 'Downstream' is a view of the not so distant future. We follow a young man (everyone's son) as he pays the price for society's decadence.",2010-03-03,2010-02-26
Frankie,2011-06-01,"When a watch repair man acquires an antique pocket watch that can control time, he decides to use it to achieve his dreams. His plans soon become sinister when he learns he isn't the only one with the knowledge of the pocket watch.",2011-06-08,2011-06-03
Bio Slime,2010-03-29,Seven misfits are trapped by a flesh eating slime creature. And no TV!,2010-04-05,2010-03-31
Ghost from the Machine,2010-01-01,"Wildly grief-stricken over the accidental death of his parents, young techno-geek Cody (Sasha Andreev) cobbles together an electrical device that he hopes will bring the spirits of mom and dad back from beyond the grave. But the machine's power and Cody's deepening obsession threaten the safety of his only remaining family: his younger brother, James (Max Hauser). Matt Osterman directs this ghostly sci-fi thriller that also stars Matthew Feeney.",2010-01-08,2010-01-03
The Harryhausen Chronicles,1998-01-27,"As an actor, director and producer, Ray Harryhausen has been a vibrant figure in Hollywood, working on everything from family films to mind-bending sci-fi. But his true genius lay in the creation of special effects for movies such as Mighty Joe Young and It Came from Outer Space. Narrated by Leonard Nimoy and featuring appearances by George Lucas and Ray Bradbury, this film documents Harryhausen's remarkable life's work.(copied from Netflix)",1998-02-03,1998-01-29
The Dark Lurking,2010-01-01,The eight remaining survivors of a secret research facility barricade themselves away from a horde of ancient and deadly creatures,2010-01-08,2010-01-03
Storm War,2011-11-26,"A series of freak weather occurrences around Washington D.C. reunites two estranged brothers who are the sons of a once prestigious climate scientist. One of them suspects their father is behind it and upon further investigation, they discover that all of their father's enemies are dead - victims of freak weather accidents.",2011-12-03,2011-11-28
Disaster!,2006-08-10,"A spoof of disaster films, an asteroid is coming towards earth and Harry Bottoms is in charge of saving us all...again...",2006-08-17,2006-08-12
The Dead Zone,2002-11-05,A young man awakens from a six-year coma with the ability to see into peoples futures. This is the first two episodes of the television series.,2002-11-12,2002-11-07
Game Box 1.0,2004-01-01,"Miserable after the shooting death of his girlfriend, video game tester Charlie immerses himself in his work. When a new 3D game comes in the mail, he becomes caught up in its bizarre fantasy world -- literally. Trapped inside the game, Charlie's only way out is to win a brutal fight-to-the-death battle.",2004-01-08,2004-01-03
Sex Files: Alien Erotica,1998-01-01,"On board a long distance spaceship returning to Earth, an alien lifeform has invaded. It feeds off of sexual energy and can clone itself to resemble the female crew members. Once on Earth the government's Alien Files force is called in to investigate the strange behavior of the crew members and to learn why the alien has come to Earth. A sexy space adventure from the creator of the EMMANUELLE series.",1998-01-08,1998-01-03
The Speed of Thought,2011-04-29,"Joshua Lazarus (Nick Stahl) is a telepath who has been raised in a NSA foster home. Lazarus helps the government by using his abilities. He is told by the agency that the telepathy is a side effect of Widmann's Disease, and that he will become insane in time and eventually die from the illness. However, Lazarus meets a woman with similar powers (Taryn Manning) who does not have any sign of the disease, launching Lazarus to confront the lies he has been told",2011-05-06,2011-05-01
Almost Normal,2005-05-26,"A gay man approaching a mid-life crisis is tired of being different because he is gay. He wants to be normal. Suddenly he is yanked back in time to when he was in high school. But this time, the world is gay and to be straight is considered deviant behavior. Then something else happens. He meets a girl. And suddenly normal becomes ...well almost normal.",2005-06-02,2005-05-28
Emmanuelle Through Time: Emmanuelle's Skin City,2011-10-06,Emmanuelle arrives in Las Vegas where she is abducted and asked by the military to help them with a device that allows people to travel to alternate realities.,2011-10-13,2011-10-08
Android Apocalypse,2006-06-24,"Machines have taken over, but left humans thinking that they are still the ones in charge. The androids need humans because of the human brain fluid; without it the android brains can't work. Until the mad scientist finds out how to make this brain fluid artificially that is.",2006-07-01,2006-06-26
Dexter's Laboratory: Ego Trip,1999-12-10,"After Dexter is confronted with robots who wish to ""destroy the one who saved the future,"" he uses his time machine to see how he saved it. They declare that they are here to destroy the one who saved the future, and make ready to attack Dexter. Dexter easily destroys them with the use of various tools and gadgets from his lab. However, news that he is ""The One Who Saved the Future"" intrigues him, and he decides to travel through time to discover how cool he is. In the first time period he visits, Dexter finds a tall, skinny, weak version of himself working in office-designing cubicles, with Mandark as his rich, successful boss. The child Dexter unwittingly reveals the existence of blueprints regarding the ""Neurotomic Protocore"", and Mandark steals it after the two Dexters move forward in time.",1999-12-17,1999-12-12
Spoiler,1998-09-15,"Roger Mason is a prisoner locked away in a futuristic fortress of a jail. Desperate to escape and see his daughter, he keeps making attempt after attempt to break free, but each one is foiled just as he's about to gain his freedom. As his punishments include being frozen in suspended animation for years at a time, he stays the same age while his daughter grows older. As more time keeps being added to his sentence, he despairs of ever getting out.",1998-09-22,1998-09-17
Darkening Sky,2010-01-01,"When an alien abduction nightmare is revealed to have been much more than a dream, a skeptical grad student studying the ""modern mythology"" of UFOs and ETs finds himself confronting an impossible reality involving shape-shifting extraterrestrials, implanted objects, organ harvesting and humans possessed by a malevolent alien presence unlike anything he has ever heard about. All while dealing with a growing suspicion that he is somehow the center of the aliens' plan.",2010-01-08,2010-01-03
Death Racers,2008-09-28,"In a dystopian future, contestants compete in a cross-country road race in which killing is part of the game. Death Racers is an American B movie directed by Roy Knyrim and is a mockbuster of Death Race. Released direct-to-video on September 16, 2008, the film stars the Horror Core group Insane Clown Posse and wrestler Scott ""Raven"" Levy.",2008-10-05,2008-09-30
The Witches Hammer,2006-05-22,On the day of her death a normal woman is transformed into a genetically engineered vampire and trained to kill. She is sent on a mission to stop the Souls of the Damned being unleashed into our dimension.,2006-05-29,2006-05-24
Hammerhead,2005-06-18,"When he began fusing human and shark DNA, his colleagues laughed at him. Now his creation is taking his revenge, and they aren't laughing anymore.",2005-06-25,2005-06-20
Dirty Blondes from Beyond,2012-05-04,"With the Galaxy under attack, Princess Farra and her beautiful bodyguard flee to a strange alien planet - Earth. They are pursued by the evil Empress and her henchwoman.",2012-05-11,2012-05-06
Forbidden Warrior,2004-01-01,"The Gaia Za is a sacred tome that holds many ancient and powerful spells to be unlocked by a so-called Chosen One expected to be born to one of two leading families: the Khans or the Marajis. Unwilling to leave the clan's fate to the gods, Che Khan decides to take matters into his own hands by plotting the murder of a new Maraji baby, who may be the child in question. In doing so, he sets off a furious clash.",2004-01-08,2004-01-03
Easton's Article,2012-06-09,"Director:  Tim Connery  After receiving his future obituary via a cryptic Internet file, Easton Denning is forced to confront his troubled past in order to prevent his predicted demise.",2012-06-16,2012-06-11
Talking to Heaven,2002-04-28,"A man begins to have disturbing visions of dead people, among whom are his mother and victims of a local serial killer. All telling their story of how they died, and how their murderer is still out there. The detective investigating the murders looks to him for help in solving the case.",2002-05-05,2002-04-30
Gamera the Brave,2006-11-11,"Toru Aizawa, a 11 year old boy suddenly finds a tiny egg on a red mysterious stone. the egg hatches and comes out an abnormal little turtle (Toto) which not only grows rapidly, but also flies in the air and even blows fireballs. At the meantime, a series of mysterious ship wrecks are reported. Later on, even more disasters happen when a huge evil ferocious monster Lizard (Zeus) suddenly comes out from the sea and attacks, wrecks and demolishes the world. the last hope of mankind relies on the friendly great monster, Gamera, which looks similar to Toto, but disappeared 33 years ago. Is Toto the descendant of Gamera? is Toto able to fight against the huge evil?",2006-11-18,2006-11-13
PostHuman,2012-04-13,A genius hacker and his dog help an enigmatic young woman to free the remaining test subjects of a black ops ESP test lab.,2012-04-20,2012-04-15
Magus,2008-04-08,"Since the dawn of time magic users have availed their Mysterious Power to ward off evil and heal the body. Throughout history wizards, sorcerers and magicians have practiced in secrecy, keeping their powers hidden, guided by the Wizard's Code. But there are some who desire mastery over others and attain the highest level of magic to gain it. Even just one Wizard, obsessed with his own power, can threaten their secret world. This one is called the MAGUS.  When Felix, a broken down healer learns that the Magus has abandoned the Wizards Code and is using his power for evil, he is forced to come out of reclusion and find a way to turn his healing energy into a killing force.  As this improbable hero starts training for his inevitable duel, the Magus continues using his magic powers to kill off all of the Secret Chiefs",2008-04-15,2008-04-10
Mass Effect: Paragon Lost,2012-12-28,"An untold chapter in the Mass Effect saga, following the early career of Alliance Marine, James Vega, as he leads a squad of elite special forces into battle against a mysterious alien threat known as The Collectors. Stationed at a colony in a remote star system, Vega and his troops must protect the inhabitants from an invasion of the deadly insectoid warriors determined to collect the population for unknown purposes. Soon after the attack, Vega's commanding officer falls in battle, forcing the young officer to embrace the responsibility of leadership for the colony's survival. Having idolized Earth's greatest hero and warrior, Commander Shepard (the central character in the Mass Effect video games), the young and idealistic Vega must now make life and the death decisions that will effect not only the lives of his squad, but the lives of every person in the colony - all of whom he has sworn to protect...",2013-01-04,2012-12-30
Citizen Dog,2006-10-15,"Follow the life of Pod as he moves to Bangkok from the country. Pod's new life starts with getting a job, losing a finger and dreaming about a girl. A movie were nothing is impossible, and just because you get killed by raining red helmets doesn't mean you have to stop driving a motorcycle taxi.",2006-10-22,2006-10-17
The Robinsons: Lost in Space,2004-01-01,"In the year 2082, the Earth was invaded by aliens after it was long determine that existence of extra terrestrials was long thought to be science fiction. Major cities crumbled from the destruction of the beings from beyond the stars. The invasion came to a halt when Earth's own armed forces led by Col. John Robinson fought off the invaders and thus Earth won the battle which came to be known as ""Robinson's Raid"".  15 years have passed by and John Robinson attends a ceremony for his retirement from his services in defending the Earth from alien threat.  This disfunctional family is one of the fewest families chosen to be part of the space program that is heading for a planet called Nova which will become occupied with a new farming colony.",2004-01-08,2004-01-03
Killer Buzz,2001-12-31,"After a series of Amazonian Indian attacks on US owned petroleum installation in Brazil, both governments start a secret 'special program'. In fact colonel Ezekial's men use GM killer bees to eradicate the tribes. During an Indian attack, reporter Ann Bauer is stung, yet survives after a mysterious rescue. Dr. Stephen North realizes the venom has priceless healing powers and smuggles the bee aboard a flight to New York. Bauer, her nearly-divorced husband, Martin, who is aboard and her friend, US State Department project representative, Scotty, face potential mass-killing after turbulence releases the bees aboard.",2002-01-07,2002-01-02
Alien Planet,2005-05-14,"The dynamic meeting of solid science and futuristic simulation culminates in a dramatic exploration to another inhabited planet seven light years away. Alien Planet creates a realistic depiction of creatures on another world, where life is possible, if not provable, according to scientists' theories. Take this fascinating journey created by state-of-the-art animation and photo-realistic effects.",2005-05-21,2005-05-16
Another Day,2001-12-04,"A woman's husband dies in a fire after a fight over the couple's unborn child. After the woman is in a boating accident a few years later, she wakes up on-shore to find that she's living two days before her husband's fatal fire",2001-12-11,2001-12-06
X-Men,2000-07-14,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",2000-07-21,2000-07-16
Fetching Cody,2005-10-01,"Art, a drug-addicted dealer and hustler, arrives at his girlfriend Cody's apartment to find that she has overdosed on heroin. He tries to fix things by traveling back in time in an attempt to prevent her death.",2005-10-08,2005-10-03
Ghost Machine,2009-02-01,Two technicians battle a vengeful spirit that has infected their stolen military software.,2009-02-08,2009-02-03
Humans vs Zombies,2011-11-11,"Dark Comedy and Horror unite in this satirical thriller based on the ""Live Action Role-Playing"" game of the same name. Students on summer break are exposed to a deadly virus that is spread rapidly through direct human contact. The infected become enslaved by the invading ""swarm"" intelligence and driven by an insatiable appetite to consume human flesh. Returning home, the students spread the infection to their fellow classmates and other unsuspecting townspeople.",2011-11-18,2011-11-13
My Brother the Pig,1999-09-10,"If you act like an animal, you just may become one!",1999-09-17,1999-09-12
Bells of Innocence,2003-01-01,"Jux Jonas (Mike Norris) is stuck deep in the heart of Texas with his friends Oren (Carey Scott) and Conrad (David White) after an emergency plane landing. Soon, they realize they're far from safety, stranded in a strange community where the locals seem under the spell of a voice from a short-wave radio owned by a local rancher (Marshall Teague). Will they ever escape? Also co-stars Norris's famous father, Chuck, in a supporting role.",2003-01-08,2003-01-03
Dragon Fighter,2003-01-04,"The movie begins in Southern England in the Middle Ages and then six knights are seen riding in horses towards a destroyed town. They see the remains of burned buildings and dead people until they come upon a mother and her dead baby. She quickly dies and then a rhino-sized dragon flies overhead, the knights follow right behind, vowing to kill the creature.",2003-01-11,2003-01-06
Sleeping Dogs,1998-05-16,"A master jewel thief in 21st century Los Angeles targets the illegal emerald smuggling operations of a highly-connected crime syndicate. During what he believes to be a routine heist, cat burglar Harry Maxwell discovers that his target, notorious criminal Sanchez Boon is also the target of a police raid. In attempting to evade both the law and Boon's well-armed men, Harry meets Pandora Grimes, one of dozens of young women Boon kidnapped to work in his factory. When Boon sets a group of social deviants free and hijacks a space transport ship and its crew, only Harry and Pandora's cunning can save the hundreds of innocent people aboard.",1998-05-23,1998-05-18
Behemoth,2011-01-15,"Scientists discover a giant creature under the Earth that is wrapped around the entire planet. When the creature wakes all grumpy, it causes worldwide destruction.",2011-01-22,2011-01-17
Time Changer,2003-10-25,"The year is 1890 and Bible professor Russell Carlisle has written a new manuscript entitled ""The Changing Times"". His colleague, Dr. Norris Anderson, believes that what Carlisle has written could greatly affect the future of coming generations and, using his secret time machine, Anderson sends Carlisle over 100 years into the future, offering him a glimpse of where his beliefs will lead.",2003-11-01,2003-10-27
Glitch,2008-08-19,"A trio of brainboxes create a cell phone chip that allows telepathic communication. But when the experiment goes wrong and power falls into the wrong hands, the results are terrifying.",2008-08-26,2008-08-21
Samurai Jack: The Premiere Movie,2002-03-19,"A small boy is sent away from his village. He is to be trained as a samurai warrior and return to fight the evil shape-sifter, Aku, who has wreaked havoc throughout the village. His skills honed, the warrior attempts a return to his home, but winds up in a future time landscape. Here, the locals call the stranger, a sort of Dirty Harry kung fu loner, ""Jack"" and assist him in his path homeward. This is the original feature length presentation that kicked off the SAMURAI JACK phenomenon on the Cartoon Network.",2002-03-26,2002-03-21
P.U.N.K.S,1999-01-05,A group of misfit teens evade a corrupt scientist when they steal and attempt to return a suit that delivers supernatural strength to its wearer.,1999-01-12,1999-01-07
Ever Since the World Ended,2001-04-21,"Twelve years ago, a plague swept through, wiping out most of the population; in San Francisco, only 186 people remain. Two of them use jury-rigged batteries to power a camera and make a documentary. We see a variety of approaches to survival, from the artist and engineer who trade for their needs, to the surfers and woodsmen who fish and hunt, to the scavengers, and a communal farm. We also see how the community deals with those who threaten it, and how the youth are growing up with different values from those who knew our world.",2001-04-28,2001-04-23
Slipstream,2005-02-03,"A scientist plots a bank robbery based around his newest invention -- a time travel gadget that will send its user 10 minutes into the past. Everything goes according to plan, until he encounters a group of thieves who've planned their heist for the same day.",2005-02-10,2005-02-05
Mongolian Death Worm,2010-04-08,"When an American oil company sets up an experimental drilling plant out in the vast deserts of Mongolia, they awaken a nest. The deadly creatures begin to breed and spread, devouring everyone in their path. The only person who can stop them is treasure hunter and adventure seeker who spent his life searching for a legendary tomb, fabled to be protected by the Death Worms. He knows he must do what he can to kill the creatures, but stopping these monsters may mean destroying his life's work forever!",2010-04-15,2010-04-10
Return of the Ghostbusters,2007-01-01,"The mile high city is rocked when an ancient Egyptian menace comes to town, and the Denver Ghostbusters must return to save the universe once more.",2007-01-08,2007-01-03
The Land That Time Forgot,2009-07-28,"Shipwrecked castaways stumble upon the mysterious island of Caprona in the Bermuda Triangle, confronting man-eating dinosaurs and a stranded German U-Boat crew while trying to escape.",2009-08-04,2009-07-30
Phenomenon II,2003-11-01,George Malley lives in a small town and is well-liked. One day he sees a strange flash of light in the sky and his life is radically changed. George has mysteriously become highly intelligent.,2003-11-08,2003-11-03
The Apocalypse,2007-05-22,"A mother and a father search for their only child as a giant asteroid headed for Earth, triggering a series of apocalyptic events.",2007-05-29,2007-05-24
The Void,2001-01-01,"Physicist Eva Soderstrom discovers greedy industrialist Thomas Abernathy is on the verge of creating an artificial black hole in a laboratory on Earth. It's the same experiment that killed her father years earlier, except bigger. With the help of Dr. Price, Eva tries to stop Abernathy and, possibly, save the planet",2001-01-08,2001-01-03
Robotech: The Shadow Chronicles,2006-08-25,"In the year 2044 AD, the human race has amped-up its space exploration and reached out to the stars through the miracle of ROBOTECHNOLOGY, but not without bringing intergalactic war upon the Earth itself. Heroes will die and allegiances will shift. But in the midst of combat, perhaps peace will spring up through the charred remains of battered history. One of the greatest science fiction sagas of all time continues...",2006-09-01,2006-08-27
Mobile Suit Gundam 00 Special Edition III: Return The World,2010-02-23,"Like the Japanese Special Editions of other Gundam and Sunrise anime series, this is the last of three volumes, that will condense the second half of the second season of Gundam 00 into feature-length videos. They all feature some new animated sequences and some partially re-recorded dialogue.",2010-03-02,2010-02-25
Grayson,2004-07-24,"After the tragic murder of Batman at the hands of his foes, his ward Dick Grayson (AKA: Robin) seeks to avenge the death of his mentor, despite attempts by Superman, Wonder Woman and others to stop him.",2004-07-31,2004-07-26
The Hunt,2006-03-29,"Bow hunting enthusiast Jack Hamberg, his eight-year old stepson Clint and former news cameraman Atticus Monroe are on a mission to make a deer hunting video. All that is needed to complete the video is a ""kill"". Jack and Atticus reluctantly decide to trespass onto a nearby property where there may be more abundant prey. Once inside the restricted area, they come upon some frightening realizations. The hunters have become the hunted.",2006-04-05,2006-03-31
Deep Freeze,2003-01-01,An Antartic drilling station is under attack by a mysterious killer. Will anyone survive?,2003-01-08,2003-01-03
Saint Sinner,2002-10-26,"In 1815 a monk, Tomas Alcala, unwittingly unleashes two female succubi, Munkar and Nakir, upon an unsuspecting 21st century. He is chosen by God to travel through the centuries and stop the demons' rampage.",2002-11-02,2002-10-28
Strange Frame: Love & Sax,2013-03-01,"28th century, 200 years after the Great Earth Exodus. Naia, a feisty, young singer/songwriter, falls in love with the beautiful saxophonist Parker in Ganymede, one of Jupiter's moons. The two form a band - and now they have to not only make it as musicians but also to fight for their freedom. Dramatically rendered in rich, hand drawn animation, Strange Frame brings us into a world of space pirates, indentured slaves and genetic mutations - infused with music throughout, to create a dreamlike tale unlike anything you've ever seen",2013-03-08,2013-03-03
The Jensen Project,2010-07-16,"After a sixteen-year absence, married scientists Claire and Matt Thompson reunite with The Jensen Project. The Jensen Project is a secret community of geniuses doing cutting edge research they share anonymously to help the world.",2010-07-23,2010-07-18
Pig,2011-04-16,"A man wakes up alone in the middle of the desert with a black hood on his head and his hands tied behind his back. At death's door, he is discovered by a woman living alone in the desert and is nursed back to health. Upon regaining consciousness, the man realizes he has amnesia, and has no idea who he is. His only clue, a piece of paper in his pocket with the name ""Manny Elder"" on it, sends him on a journey to Los Angeles to discover his past. But things and people are not what they seem and clues lead to something bigger and more unusual than the man could have ever imagined.",2011-04-23,2011-04-18
Stingray Sam,2009-01-20,"A dangerous mission reunites Stingray Sam with his long lost accomplice, The Quasar Kid. Follow these two space-convicts as they earn their freedom in exchange for the rescue of a young girl who is being held captive by the genetically designed figurehead of a very wealthy planet.",2009-01-27,2009-01-22
The Frankenstein Syndrome,2010-10-01,"Young Scientists Elizabeth Burns explores the impact on the human body stem cells. A specific feature of these cells to interact with dead flesh has been subjected to blackmail heroine is forced to continue chilling experiments. Once she recovers just killed a man and begins a nightmare, whose name is Frankenstein Syndrome ..",2010-10-08,2010-10-03
Mobile Suit Zeta Gundam A New Translation III: Love is the Pulse of the Stars,2006-03-04,"Universal Century 0087, Char Aznable has now become the leader of the AEUG. Scirocco, the man from Jupiter, schemes to seize control of the Titans. Haman, the Axis leader, is attempting to restore the Zabi family. Through politics and strategy, these three powers struggle for dominion over the Earth Sphere. The war builds to a deadly endgame around the space colony Gryps 2, which has been converted into a giant laser cannon. What destiny awaits Kamille at the end of the conflict?  This is the final part of the Mobile Suit Zeta Gundam feature trilogy, which features enhanced animation and theme songs by GACKT.",2006-03-11,2006-03-06
1313: Hercules Unbound!,2012-07-01,"Sent to a Gladiator retreat, Hercules frustrates his fellow warriors with his arrogance, but when his rival, Capaneous, schemes to poison Hercules, he must learn humility and devise a plan to survive a wrestling match in his weakened state.",2012-07-08,2012-07-03
Pixels,2010-04-01,New York City is invaded by 8-bit creatures.,2010-04-08,2010-04-03
Spaceman,2011-06-24,"A traveler from 27 galaxies away visits Earth to learn how to save his dying planet, but things go wrong, terribly wrong. Based on a true story.",2011-07-01,2011-06-26
Empty,2011-01-25,A suspenseful drama about a young couple on a road trip who get caught in the midst of a worldwide gas shortage.,2011-02-01,2011-01-27
Virtual Girl,1998-03-31,"John Lewis, a programming genius, has it all- a beautiful wife and a child, a lavish home and he's on the brink of making it big after he finishes one last project, a CD-Rom Sex Game called Virtual Girl. However, things get complicated when a woman in a VR simulation becomes “real” and falls in love with the VR system creator.",1998-04-07,1998-04-02
The Tenant,2011-08-19,"A simple man, Dr. Walter Newman has high aspirations to cure all disease through genetic manipulation. His obsession with his mission draws him deeper into his own dark world, distracting him from his wife Olivia and from his responsibilities to his patients at the Edgewood Asylum. The doctor's loyal but diabolical nurse, Ms. Tinsley, decides to take matters into her own hands and in secret she conducts her own experiment. When Dr. Newman realizes what has been done, a deformed creature that defies nature is created. Part human, part nightmare. Dr. Newman knows what he must do, but is it already too late?",2011-08-26,2011-08-21
"SuperManager, or Hack of the Fate",2011-11-11,"A funny fantasy about mangers, hobbits and other surprising people.",2011-11-18,2011-11-13
Ashes,2010-01-01,An obsessive doctor working on a cure for AIDS unwittingly creates an aggressive new bacteria that deteriorates the body and enrages the mind.,2010-01-08,2010-01-03
Frankenstein Reborn,2005-08-28,"The latest psychiatrist assigned to assess whether inmate Victor Frank is mentally fit to stand trial for murder gives up in frustration and so the asylum head Dr Robert Walton steps in to do the job. Frank tells Walton his story. He was a scientist experimenting in the field of nanotechnology. Using nanobots that were capable of rebuilding the human body, Frank and his team had great success in helping the crippled, wheelchair-ridden Bryce Daniels regain use of his faculties. But then Bryce started to become unstable...",2005-09-04,2005-08-30
Puppet Master: The Legacy,2003-12-16,"Peter Hertz tells a woman the past stories about the puppets, but she secretly wants to kill them.",2003-12-23,2003-12-18
Connors' War,2006-09-26,They'll never see him coming... It's Personal. It's War. A blinded ex special agent is given his sight back by a special serum in order for him to stop a nuke that's hidden somewhere in the city. Things are just starting to complicate.,2006-10-03,2006-09-28
Scorpius Gigantus,2006-07-25,"Geneticist seeks to make a name for herself by saving the planet from disease by using eons-old antibodies, harvested from enlarged six legged creatures. The creatures don't like being big and escape. Send for help.",2006-08-01,2006-07-27
"Goodbye, 20th Century",1999-02-26,"In the year 2019, after global destruction and descent into savagery, the immortal Kuzman tried to discover his destiny in order to learn how to die. As he enters the whirling circles of time, we discover the blasphemy of our century, and how it is to close its circle.",1999-03-05,1999-02-28
